,Index,Price,24h Δ,24h %Δ
0,S&P 500 <br> (United States),4545.86,15.45,0.34
1,Nasdaq <br> (United States),14261.5,40.98,0.29
2,S&P/TSX <br> (Canada),21952.95,62.79,0.29
3,FTSE BIVA Real Time Price <br> (Mexico),1168.62,2.41,0.21
4,DAX <br> (Germany),14446.48,31.73,0.22
5,FTSE 100 <br> (United Kingdom),7537.9,22.22,0.3
6,CAC 40 <br> (France),6684.31,24.44,0.37
7,FTSE Italia All Share <br> (Italy),27443.53,146.25,0.54
8,IBEX 35 <br> (Spain),8503.7,58.6,0.69
9,PSI 20 <br> (Portugal),5988.12,-48.85,-0.81
10,AEX <br> (Netherlands),728.0,3.8,0.52
11,BEL 20 <br> (Belgium),4200.01,41.23,0.99
12,OSE Benchmark <br> (Norway),1269.84,8.49,0.67
13,OMXS30 <br> (Sweden),2119.61,24.44,1.17
14,OMX Helsinki 25 <br> (Finland),4914.85,49.56,1.02
15,WIG20 <br> (Poland),2164.81,31.76,1.49
16,MOEX <br> (Russia),2759.64,56.13,2.08
17,Shanghai <br> (China),3282.72,30.06,0.92
18,SZSE Component <br> (China),12227.93,109.68,0.91
19,China A50 <br> (China),14009.59,259.01,1.88
20,Nikkei 225 <br> (Japan),27665.98,-155.45,-0.56
21,JASDAQ <br> (Japan),164.28,-0.47,-0.29
22,KOSPI <br> (South Korea),2739.85,-17.8,-0.65
23,Hang Seng <br> (Hong Kong),22039.55,42.7,0.19
24,FTSE Singapore <br> (Singapore),359.16,0.15,0.04
25,BSE Sensex <br> (India),59276.69,708.18,1.21
26,BIST 100 <br> (Turkey),2251.68,18.38,0.82
27,Taiwan Weighted <br> (Taiwan),17625.59,-67.88,-0.38
28,SET <br> (Thailand),1701.31,6.07,0.36
29,S&P/ASX 200 <br> (Australia),7493.8,-5.8,-0.08
30,NZX 50 <br> (New Zealand),12089.43,19.68,0.16
31,Bovespa <br> (Brazil),121570.0,1571.0,1.31
32,S&P Merval <br> (Argentina),92390.98,1431.39,1.57
33,S&P CLX IPSA <br> (Chile),4978.49,41.52,0.84
